title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,new_location,new_continent
"M 7.2 - 93km NNE of Laiwui, Indonesia",7.2,14-07-2019 09:10,7,7,green,1,809,us,0,1.504,38.0,mww,18.98,-0.5858,128.034,Indonesia,Asia
"M 6.6 - 200km W of Broome, Australia",6.6,14-07-2019 05:39,5,5,green,0,791,us,0,2.978,32.0,mww,10.0,-18.2242,120.358,Australia,Oceania
"M 6.9 - 134km WSW of Kota Ternate, Indonesia",6.9,07-07-2019 15:08,7,5,green,0,747,us,0,1.205,21.0,mww,35.0,0.5126,126.189,Indonesia,Asia
"M 7.1 - 18km W of Searles Valley, CA",7.1,06-07-2019 03:19,9,9,yellow,0,1646,ci,77,0.04616,43.0,mw,8.0,35.7695,-117.599,United States,North America
"M 7.3 - 292km NW of Saumlaki, Indonesia",7.3,24-06-2019 02:53,4,6,green,1,952,us,0,2.629,16.0,mww,212.0,-6.4078,129.169,Indonesia,Asia
"M 7.3 - 116km NE of L'Esperance Rock, New Zealand",7.3,15-06-2019 22:55,8,6,green,1,830,us,0,1.402,11.0,mww,46.0,-30.6441,-178.1,New Zealand,Oceania
"M 6.6 - 32 km S of La Libertad, El Salvador",6.6,30-05-2019 09:03,7,6,yellow,1,886,us,0,1.193,22.0,mww,57.92,13.1994,-89.3056,El Salvador,North America
"M 8.0 - 78 km NE of Navarro, Peru",8.0,26-05-2019 07:41,9,8,orange,1,1890,us,0,3.18,17.0,mww,122.57,-5.8119,-75.2697,Peru,South America
"M 7.6 - 46km SSE of Namatanai, Papua New Guinea",7.6,14-05-2019 12:58,7,7,green,1,929,us,0,0.453,16.0,mww,10.0,-4.051,152.597,Papua New Guinea,Oceania
"M 7.1 - 33km NW of Bulolo, Papua New Guinea",7.1,06-05-2019 21:19,7,6,yellow,1,826,us,0,2.514,16.0,mww,146.0,-6.9746,146.449,Papua New Guinea,Oceania
"M 6.8 - 98km SSW of Luwuk, Indonesia",6.8,12-04-2019 11:40,5,6,green,1,717,us,0,0.791,28.0,mww,15.46,-1.8146,122.58,Indonesia,Asia
"M 6.5 - 83km ENE of Bristol Island, South Sandwich Islands",6.5,09-04-2019 17:53,0,5,green,1,650,us,0,7.568,18.0,mww,38.0,-58.6262,-25.304,South Georgia,Antarctica
"M 7.0 - 22 km NNE of Azángaro, Peru",7.0,01-03-2019 08:50,7,4,green,1,869,us,0,2.501,42.0,mww,267.0,-14.7131,-70.1546,Peru,South America
"M 7.5 - 111km ESE of Palora, Ecuador",7.5,22-02-2019 10:17,7,7,yellow,1,1145,us,0,2.045,15.0,mww,145.0,-2.1862,-77.0505,Ecuador,South America
"M 6.7 - 5 km SW of Puerto Madero, Mexico",6.7,01-02-2019 16:14,6,6,yellow,1,909,us,0,0.289,43.0,mww,66.0,14.6802,-92.4527,Mexico,North America
M 6.7 - Prince Edward Islands region,6.7,22-01-2019 19:01,0,3,green,0,691,us,0,7.527,17.0,mww,13.0,-43.1219,42.3568,Unknown,Unknown
"M 6.7 - 10 km SSW of Coquimbo, Chile",6.7,20-01-2019 01:32,8,8,orange,1,1600,us,0,0.173,22.0,mww,63.0,-30.0404,-71.3815,Chile,South America
"M 6.6 - 94 km NW of Sola, Vanuatu",6.6,15-01-2019 18:06,5,4,green,1,671,us,0,7.818,18.0,mww,35.0,-13.336,166.875,Vanuatu,Oceania
M 6.6 - Molucca Sea,6.6,06-01-2019 17:27,2,4,green,1,672,us,0,1.596,33.0,mww,43.21,2.258,126.758,Indonesia,Asia
"M 6.8 - 90km W of Tarauaca, Brazil",6.8,05-01-2019 19:25,3,3,green,0,715,us,0,1.181,16.0,mww,570.41,-8.144,-71.587,Brazil,South America
"M 7.0 - 96 km ESE of Pondaguitan, Philippines",7.0,29-12-2018 03:39,5,5,green,1,803,us,0,1.769,21.0,mww,60.21,5.8983,126.921,Philippines,Asia
"M 7.3 - 187 km SE of Ust’-Kamchatsk Staryy, Russia",7.3,20-12-2018 17:01,3,7,green,1,822,us,0,4.126,23.0,mww,16.56,55.0999,164.699,Russia,Europe
M 7.1 - South Sandwich Islands region,7.1,11-12-2018 02:26,0,5,green,1,776,us,0,7.043,20.0,mww,133.0,-58.5446,-26.3856,South Georgia,Antarctica
"M 6.6 - 199 km ESE of Tadine, New Caledonia",6.6,05-12-2018 06:43,0,4,green,1,670,us,0,2.679,31.0,mww,10.0,-22.0629,169.733,New Caledonia,Oceania
"M 7.5 - 166 km ESE of Tadine, New Caledonia",7.5,05-12-2018 04:18,3,6,green,1,871,us,0,2.405,18.0,mww,10.0,-21.9496,169.427,New Caledonia,Oceania
"M 7.1 - 1 km SE of Point MacKenzie, Alaska",7.1,30-11-2018 17:29,8,8,orange,1,1790,ak,0,0.0,0.0,mw,46.7,61.3464,-149.955,United States,North America
"M 6.8 - 187 km E of Levuka, Fiji",6.8,18-11-2018 20:25,0,3,green,1,711,us,0,2.879,39.0,mww,540.0,-17.8735,-178.927,Fiji,Oceania
"M 6.7 - 120 km NW of Olonkinbyen, Svalbard and Jan Mayen",6.7,09-11-2018 01:49,3,4,green,1,693,us,0,7.853,19.0,mww,10.0,71.6312,-11.2431,Svalbard and Jan Mayen,Europe
"M 6.8 - 32 km SW of Lithakiá, Greece",6.8,25-10-2018 22:54,8,7,yellow,0,954,us,0,2.268,15.0,mww,14.0,37.5203,20.5565,Greece,Europe
"M 6.5 - 237 km SW of Port McNeill, Canada",6.5,22-10-2018 06:22,2,4,green,0,655,us,0,1.692,68.0,mww,10.0,49.297,-129.724,Canada,North America
"M 6.8 - 210 km SW of Port McNeill, Canada",6.8,22-10-2018 06:16,4,4,green,1,776,us,0,1.505,36.0,mww,10.0,49.3346,-129.289,Canada,North America
"M 6.5 - 223 km SW of Port McNeill, Canada",6.5,22-10-2018 05:39,3,4,green,1,669,us,0,1.611,63.0,mww,10.0,49.2586,-129.412,Canada,North America
"M 6.5 - 171 km E of Tadine, New Caledonia",6.5,16-10-2018 01:03,0,4,green,1,650,us,0,2.109,22.0,mww,17.0,-21.7427,169.522,New Caledonia,Oceania
"M 6.7 - 269 km WNW of Ozernovskiy, Russia",6.7,13-10-2018 11:10,0,3,green,1,691,us,0,2.705,17.0,mww,461.0,52.8549,153.243,Russia,Europe
"M 6.5 - 154 km S of Severo-Kuril’sk, Russia",6.5,10-10-2018 23:16,0,4,green,1,650,us,0,3.923,14.0,mww,20.0,49.2902,156.297,Russia,Europe
"M 7.0 - 119 km E of Kimbe, Papua New Guinea",7.0,10-10-2018 20:48,6,6,green,1,758,us,0,1.778,18.0,mww,39.0,-5.7012,151.205,Papua New Guinea,Oceania
"M 6.7 - 279 km E of Levuka, Fiji",6.7,30-09-2018 10:52,2,3,green,1,691,us,0,3.745,23.0,mww,550.0,-18.3604,-178.063,Fiji,Oceania
"M 7.5 - 72 km N of Palu, Indonesia",7.5,28-09-2018 10:02,8,8,red,0,2026,us,0,1.649,13.0,mww,20.0,-0.2559,119.846,Indonesia,Asia
M 6.5 - south of the Fiji Islands,6.5,16-09-2018 21:11,4,1,green,0,651,us,0,5.139,18.0,mww,576.0,-25.415,178.199,Fiji,Oceania
M 6.9 - Kermadec Islands region,6.9,10-09-2018 04:19,3,4,green,0,735,us,0,2.785,18.0,mww,115.0,-31.7447,-179.373,Unknown,Unknown
"M 6.5 - 66 km NW of Kirakira, Solomon Islands",6.5,09-09-2018 19:31,3,6,green,1,651,us,0,1.638,25.0,mww,68.0,-10.0207,161.503,Solomon Islands,Oceania
"M 7.9 - 45 km S of Levuka, Fiji",7.9,06-09-2018 15:49,7,4,green,1,979,us,0,1.431,12.0,mww,670.81,-18.4743,179.35,Fiji,Oceania
"M 6.6 - 27 km ESE of Chitose, Japan",6.6,05-09-2018 18:07,8,9,orange,1,1075,us,0,1.13,32.0,mww,35.0,42.6861,141.929,Japan,Asia
"M 7.1 - 238 km ESE of Tadine, New Caledonia",7.1,29-08-2018 03:51,2,5,green,1,776,us,0,2.548,23.0,mww,21.43,-22.0295,170.126,New Caledonia,Oceania
"M 7.1 - 136 km W of Iñapari, Peru",7.1,24-08-2018 09:04,0,3,green,0,776,us,0,3.77,12.0,mww,630.0,-11.0355,-70.8284,Peru,South America
"M 6.5 - 78 km E of Lakatoro, Vanuatu",6.5,21-08-2018 22:32,6,7,green,1,652,us,0,4.797,10.0,mww,9.0,-16.0315,168.143,Vanuatu,Oceania
"M 7.3 - 40 km ENE of Carúpano, Venezuela",7.3,21-08-2018 21:31,8,6,yellow,1,1570,us,0,1.822,15.0,mww,146.82,10.7731,-62.9019,Venezuela,South America
"M 6.9 - 20 km NNW of Labuan Lombok, Indonesia",6.9,19-08-2018 14:56,7,7,green,0,1206,us,0,2.453,31.0,mww,21.0,-8.319,116.627,Indonesia,Asia
"M 8.2 - 267 km E of Levuka, Fiji",8.2,19-08-2018 00:19,5,4,green,1,1050,us,0,3.63,13.0,mww,600.0,-18.1125,-178.153,Fiji,Oceania
"M 6.5 - 124 km N of Labuan Bajo, Indonesia",6.5,17-08-2018 15:35,5,3,green,0,743,us,0,2.719,23.0,mww,529.0,-7.3718,119.802,Indonesia,Asia
"M 6.5 - 108 km WSW of Adak, Alaska",6.5,15-08-2018 21:56,6,6,green,1,655,us,0,0.576,22.0,mww,33.93,51.4234,-178.026,United States,North America
"M 6.9 - 36 km NW of Labuan Lombok, Indonesia",6.9,05-08-2018 11:46,9,8,orange,0,1704,us,0,2.271,15.0,mww,34.0,-8.2581,116.438,Indonesia,Asia
"M 6.9 - 18 km SSW of Leilani Estates, Hawaii",6.9,04-05-2018 22:32,7,8,yellow,1,1392,hv,63,0.11,210.0,mw,5.81,19.3182,-155.0,United States,North America
"M 6.8 - 38 km SE of Boyuibe, Bolivia",6.8,02-04-2018 13:40,5,3,green,0,733,us,0,5.32,16.0,mww,559.0,-20.6588,-63.0058,Bolivia,South America
"M 6.9 - 150 km E of Kimbe, Papua New Guinea",6.9,29-03-2018 21:25,9,6,green,1,741,us,0,1.487,18.0,mww,35.0,-5.5321,151.5,Papua New Guinea,Oceania
"M 6.7 - 140 km E of Kimbe, Papua New Guinea",6.7,26-03-2018 09:51,5,6,green,1,696,us,0,1.507,15.0,mww,40.0,-5.5024,151.402,Papua New Guinea,Oceania
"M 6.8 - 103 km E of Kokopo, Papua New Guinea",6.8,08-03-2018 17:39,6,6,green,1,719,us,0,1.049,16.0,mww,22.86,-4.3762,153.2,Papua New Guinea,Oceania
"M 6.7 - 62 km SW of Tari, Papua New Guinea",6.7,06-03-2018 14:13,8,7,green,1,697,us,0,5.457,19.0,mww,20.49,-6.3043,142.612,Papua New Guinea,Oceania
"M 7.5 - 32 km SW of Tari, Papua New Guinea",7.5,25-02-2018 17:44,9,8,yellow,1,943,us,0,5.48,17.0,mww,25.21,-6.0699,142.754,Papua New Guinea,Oceania
"M 7.2 - 4 km S of Pinotepa de Don Luis, Mexico",7.2,16-02-2018 23:39,7,7,yellow,1,1384,us,0,0.142,82.0,mww,22.0,16.3855,-97.9787,Mexico,North America
"M 7.9 - 261 km SE of Chiniak, Alaska",7.9,23-01-2018 09:31,9,4,green,1,1870,us,0,2.585,30.0,mww,14.06,56.0039,-149.166,United States,North America
"M 7.1 - 37 km W of Atiquipa, Peru",7.1,14-01-2018 09:18,9,7,green,1,1075,us,0,4.29,23.0,mww,39.0,-15.7675,-74.7092,Peru,South America
"M 7.5 - 203 km NNE of Barra Patuca, Honduras",7.5,10-01-2018 02:51,8,5,green,1,1623,us,0,4.581,12.0,mww,19.0,17.4825,-83.52,Honduras,North America
"M 6.5 - 12 km SSW of Kawalu, Indonesia",6.5,15-12-2017 16:47,8,7,green,0,998,us,0,2.365,28.0,mww,90.0,-7.4921,108.174,Indonesia,Asia
M 6.5 - Bouvet Island region,6.5,13-12-2017 18:03,1,5,green,1,651,us,0,17.654,23.0,mww,17.0,-54.2189,2.1628,Unknown,Unknown
"M 7.0 - 85 km ENE of Tadine, New Caledonia",7.0,19-11-2017 22:43,4,6,green,1,771,us,0,0.617,14.0,mww,10.0,-21.3246,168.671,New Caledonia,Oceania
"M 6.6 - 74 km E of Tadine, New Caledonia",6.6,19-11-2017 15:09,4,5,green,1,676,us,0,0.529,21.0,mww,13.0,-21.5027,168.598,New Caledonia,Oceania
"M 6.5 - 18 km W of Parrita, Costa Rica",6.5,13-11-2017 02:28,8,8,yellow,1,1153,us,0,0.225,37.0,mww,19.36,9.5147,-84.4865,Costa Rica,North America
"M 7.3 - 29 km S of ?alabja, Iraq",7.3,12-11-2017 18:18,8,9,red,0,2790,us,0,0.284,33.0,mww,19.0,34.9109,45.9592,Iran,Asia
"M 6.5 - 67 km WSW of Angoram, Papua New Guinea",6.5,07-11-2017 21:26,6,5,green,1,661,us,0,4.449,10.0,mww,110.57,-4.2433,143.485,Papua New Guinea,Oceania
"M 6.8 - 97 km NE of Hihifo, Tonga",6.8,04-11-2017 09:00,5,5,green,1,727,us,0,4.852,21.0,mww,10.0,-15.3197,-173.168,Tonga,Oceania
"M 6.6 - 101 km E of Tadine, New Caledonia",6.6,01-11-2017 02:23,3,5,green,1,674,us,0,0.788,29.0,mww,22.0,-21.6484,168.859,New Caledonia,Oceania
"M 6.7 - 132 km E of Tadine, New Caledonia",6.7,31-10-2017 00:42,3,4,green,1,691,us,0,1.062,55.0,mww,24.0,-21.6971,169.148,New Caledonia,Oceania
"M 6.7 - 181 km NNE of Maumere, Indonesia",6.7,24-10-2017 10:47,3,3,green,0,694,us,0,1.634,16.0,mww,553.81,-7.2168,123.074,Indonesia,Asia
"M 6.5 - 247 km ESE of Attu Station, Alaska",6.5,08-10-2017 22:34,3,5,green,1,651,us,0,1.154,11.0,mww,119.0,52.3909,176.769,United States,North America
"M 7.1 - 1 km S of Matzaco, Mexico",7.1,19-09-2017 18:14,9,8,Unknown,0,1686,us,0,0.984,23.0,mww,48.0,18.5499,-98.4887,Mexico,North America
"M 8.2 - near the coast of Chiapas, Mexico",8.2,08-09-2017 04:49,9,7,red,1,2910,us,0,0.944,22.0,mww,47.39,15.0222,-93.8993,Mexico,North America
"M 6.5 - 168 km SW of Mawu, China",6.5,08-08-2017 13:19,5,7,yellow,0,707,us,0,11.411,22.0,mww,9.0,33.1926,103.855,China,Asia
"M 6.6 - 11 km ENE of Kos, Greece",6.6,20-07-2017 22:31,7,7,yellow,0,1064,us,0,0.913,16.0,mww,7.0,36.9293,27.4139,Turkey,Europe
"M 7.7 - Komandorskiye Ostrova, Russia region",7.7,17-07-2017 23:34,8,7,green,1,918,us,0,3.564,13.0,mww,10.0,54.4434,168.857,Russia,Europe
"M 6.6 - Auckland Islands, New Zealand region",6.6,11-07-2017 07:00,5,4,green,1,704,us,0,3.773,37.0,mww,10.0,-49.4837,164.016,New Zealand,Oceania
"M 6.5 - 2 km S of Lim-oo, Philippines",6.5,06-07-2017 08:03,9,8,yellow,1,740,us,0,4.139,30.0,mww,9.0,11.1269,124.629,Philippines,Asia
"M 6.8 - 28 km SW of Puerto San José, Guatemala",6.8,22-06-2017 12:31,6,6,yellow,1,1034,us,0,1.065,38.0,mww,38.12,13.7174,-90.9718,Guatemala,North America
"M 6.9 - 2 km SSW of San Pablo, Guatemala",6.9,14-06-2017 07:29,8,6,yellow,1,1188,us,0,0.247,35.0,mww,93.0,14.9091,-92.0092,Guatemala,North America
"M 6.8 - 200 km NW of Attu Station, Alaska",6.8,02-06-2017 22:24,0,4,green,1,711,us,0,2.308,12.0,mww,5.0,54.0312,170.92,United States,North America
"M 6.6 - 37 km WNW of Poso, Indonesia",6.6,29-05-2017 14:35,7,7,green,0,678,us,0,2.353,18.0,mww,12.0,-1.2923,120.431,Indonesia,Asia
M 6.5 - South Sandwich Islands region,6.5,10-05-2017 23:23,0,4,green,1,650,us,0,6.489,17.0,mww,15.0,-56.414,-25.7432,South Georgia,Antarctica
"M 6.8 - 59 km NNE of Port-Olry, Vanuatu",6.8,09-05-2017 13:52,6,5,green,1,713,us,0,7.495,19.0,mww,169.0,-14.5884,167.377,Vanuatu,Oceania
"M 6.9 - 31 km SW of Burias, Philippines",6.9,28-04-2017 20:23,9,6,green,1,814,us,0,1.636,14.0,mww,26.0,5.5043,125.066,Philippines,Asia
"M 6.9 - 40 km W of Valparaíso, Chile",6.9,24-04-2017 21:38,9,7,yellow,1,1642,us,0,0.356,39.0,mww,28.0,-33.0375,-72.0617,Chile,South America
"M 6.5 - 132 km WSW of Moijabana, Botswana",6.5,03-04-2017 17:40,7,8,green,0,1297,us,0,2.36,15.0,mww,29.0,-22.6784,25.1558,Botswana,Africa
"M 6.6 - 81 km NNE of Ust’-Kamchatsk Staryy, Russia",6.6,29-03-2017 04:09,6,7,yellow,1,671,us,0,4.591,14.0,mww,17.0,56.9401,162.786,Russia,Europe
M 6.9 - south of the Fiji Islands,6.9,24-02-2017 17:28,2,3,green,1,733,us,0,6.012,19.0,mww,414.5,-23.2593,-178.804,Fiji,Oceania
"M 6.5 - 41 km E of Padilla, Bolivia",6.5,21-02-2017 14:09,3,3,green,0,653,us,0,4.242,14.0,mww,595.98,-19.2814,-63.9047,Bolivia,South America
"M 6.5 - 11 km N of Mabua, Philippines",6.5,10-02-2017 14:03,8,7,yellow,1,718,us,0,2.822,36.0,mww,15.0,9.9071,125.452,Philippines,Asia
"M 7.9 - 35 km WNW of Panguna, Papua New Guinea",7.9,22-01-2017 04:30,9,7,yellow,1,987,us,0,3.625,9.0,mww,135.0,-6.2464,155.172,Papua New Guinea,Oceania
"M 6.5 - 65 km W of Kirakira, Solomon Islands",6.5,19-01-2017 23:04,6,6,green,1,654,us,0,1.64,21.0,mww,36.0,-10.3506,161.335,Solomon Islands,Oceania
"M 7.3 - 189 km SSE of Tabiauan, Philippines",7.3,10-01-2017 06:13,6,3,green,1,849,us,0,3.813,18.0,mww,627.17,4.4782,122.617,Philippines,Asia
"M 6.9 - 225 km SW of Nadi, Fiji",6.9,03-01-2017 21:52,6,4,green,1,742,us,0,2.495,13.0,mww,12.0,-19.3733,176.052,Fiji,Oceania
"M 7.6 - 41 km SW of Quellón, Chile",7.6,25-12-2016 14:22,9,8,yellow,1,1152,us,0,0.355,29.0,mww,38.0,-43.4064,-73.9413,Chile,South America
"M 6.7 - 151 km NE of Lospalos, Timor Leste",6.7,21-12-2016 00:17,5,5,green,0,726,us,0,3.38,17.0,mww,152.0,-7.5082,127.921,Indonesia,Asia
"M 7.9 - 140 km E of Kokopo, Papua New Guinea",7.9,17-12-2016 10:51,9,7,yellow,1,972,us,0,1.389,13.0,mww,94.54,-4.5049,153.522,Papua New Guinea,Oceania
"M 6.9 - 92 km WSW of Kirakira, Solomon Islands",6.9,09-12-2016 19:10,8,6,green,1,737,us,0,1.747,26.0,mww,19.73,-10.749,161.132,Solomon Islands,Oceania
"M 6.5 - 79 km WSW of Kirakira, Solomon Islands",6.5,08-12-2016 21:56,0,5,green,0,650,us,0,1.937,18.0,mww,12.26,-10.8416,161.314,Solomon Islands,Oceania
"M 7.8 - 69 km WSW of Kirakira, Solomon Islands",7.8,08-12-2016 17:38,9,8,green,1,961,us,0,1.836,13.0,mww,40.0,-10.6812,161.327,Solomon Islands,Oceania
"M 6.6 - 164 km W of Ferndale, California",6.6,08-12-2016 14:49,5,4,green,1,1120,us,0,1.405,55.0,mww,8.45,40.4535,-126.194,United States,North America
"M 6.5 - 14 km WNW of Reuleuet, Indonesia",6.5,06-12-2016 22:03,9,8,yellow,0,731,us,0,0.778,27.0,mww,13.0,5.2834,96.1678,Indonesia,Asia
"M 6.6 - 122 km N of Murghob, Tajikistan",6.6,25-11-2016 14:24,8,7,green,0,693,us,0,1.697,20.0,mww,17.0,39.2732,73.9776,China,Asia
"M 6.9 - 156 km SSW of Puerto El Triunfo, El Salvador",6.9,24-11-2016 18:43,5,4,green,1,855,us,0,1.796,20.0,mww,10.0,11.9097,-88.8968,El Salvador,North America
"M 6.9 - 35 km ESE of Namie, Japan",6.9,21-11-2016 20:59,9,6,green,1,1144,us,0,0.671,10.0,mww,9.0,37.3931,141.387,Japan,Asia
"M 6.5 - 74 km NE of Amberley, New Zealand",6.5,14-11-2016 00:34,7,7,yellow,1,664,us,0,0.283,56.0,mww,9.0,-42.6058,173.254,New Zealand,Oceania
"M 6.5 - 92 km SSW of Blenheim, New Zealand",6.5,13-11-2016 11:32,6,7,yellow,1,656,us,0,0.135,58.0,mww,10.0,-42.3205,173.669,New Zealand,Oceania
"M 7.8 - 53 km NNE of Amberley, New Zealand",7.8,13-11-2016 11:02,9,9,orange,1,1545,us,0,0.481,21.0,mww,15.11,-42.7373,173.054,New Zealand,Oceania
"M 6.6 - 5 km ESE of Preci, Italy",6.6,30-10-2016 06:40,9,8,red,0,2840,us,0,0.174,25.0,mww,8.0,42.8621,13.0961,Italy,Europe
"M 6.6 - 161 km NNE of Pamanukan, Indonesia",6.6,19-10-2016 00:26,3,3,green,0,677,us,0,2.022,16.0,mww,614.0,-4.8626,108.163,Indonesia,Asia
"M 6.8 - 76 km WNW of Kandrian, Papua New Guinea",6.8,17-10-2016 06:14,3,6,green,1,716,us,0,3.727,11.0,mww,42.0,-6.0033,148.887,Papua New Guinea,Oceania
M 6.9 - Fiji region,6.9,24-09-2016 21:28,2,3,green,1,733,us,0,4.051,9.0,mww,596.4,-19.7819,-178.244,Fiji,Oceania
"M 7.0 - 175 km NE of Gisborne, New Zealand",7.0,01-09-2016 16:37,5,6,green,1,897,us,0,0.698,21.0,mww,19.0,-37.3586,179.146,New Zealand,Oceania
"M 6.8 - 90 km NE of Rabaul, Papua New Guinea",6.8,31-08-2016 03:11,4,3,green,1,713,us,0,0.803,12.0,mww,476.0,-3.6849,152.792,Papua New Guinea,Oceania
"M 6.8 - 26 km W of Chauk, Myanmar",6.8,24-08-2016 10:34,6,6,yellow,0,981,us,0,1.802,17.0,mww,82.0,20.9228,94.569,Myanmar,Asia
M 7.2 - southeast of the Loyalty Islands,7.2,12-08-2016 01:26,6,5,green,1,799,us,0,4.823,14.0,mww,16.37,-22.4765,173.117,Unknown,Unknown
"M 7.7 - Pagan region, Northern Mariana Islands",7.7,29-07-2016 21:18,5,6,green,1,971,us,0,3.294,14.0,mww,196.0,18.5429,145.507,Northern Mariana Islands,Oceania
"M 6.6 - 80 km W of Sungai Penuh, Indonesia",6.6,01-06-2016 22:56,4,6,green,0,671,us,0,2.435,16.0,mww,50.0,-2.0967,100.665,Indonesia,Asia
M 7.2 - South Sandwich Islands region,7.2,28-05-2016 09:46,1,6,green,1,798,us,0,5.803,24.0,mww,78.0,-56.2409,-26.9353,South Georgia,Antarctica
M 6.9 - ,6.9,28-05-2016 05:38,3,3,green,1,733,us,0,5.485,19.0,mww,405.69,-21.9724,-178.204,Unknown,Unknown
"M 6.9 - 24 km NW of Rosa Zarate, Ecuador",6.9,18-05-2016 16:46,8,7,green,1,780,us,0,1.192,17.0,mww,29.95,0.4947,-79.616,Ecuador,South America
"M 6.7 - 32 km SE of Muisne, Ecuador",6.7,18-05-2016 07:57,5,7,green,1,744,us,0,1.352,21.0,mww,16.0,0.4261,-79.7899,Ecuador,South America
"M 7.0 - 3 km NW of Norsup, Vanuatu",7.0,28-04-2016 19:33,7,7,green,1,755,us,0,0.616,14.0,mww,24.0,-16.0429,167.379,Vanuatu,Oceania
"M 7.8 - 27 km SSE of Muisne, Ecuador",7.8,16-04-2016 23:58,9,9,orange,1,1163,us,0,1.44,15.0,mww,20.59,0.3819,-79.9218,Ecuador,South America
"M 7.0 - 6 km ESE of Kumamoto, Japan",7.0,15-04-2016 16:25,9,9,red,1,2074,us,0,0.349,32.0,mww,10.0,32.7906,130.754,Japan,Asia
"M 6.9 - 76 km SE of Mawlaik, Myanmar",6.9,13-04-2016 13:55,6,6,yellow,0,903,us,0,3.001,14.0,mww,136.0,23.0944,94.8654,Myanmar,Asia
"M 6.6 - 42 km WSW of Ashk?sham, Afghanistan",6.6,10-04-2016 10:28,6,4,green,0,738,us,0,0.789,17.0,mww,212.0,36.4725,71.1311,Afghanistan,Asia
"M 6.7 - 104 km W of Sola, Vanuatu",6.7,07-04-2016 03:32,7,5,green,1,692,us,0,6.787,25.0,mww,27.59,-13.9805,166.594,Vanuatu,Oceania
"M 6.7 - 102 km WSW of Sola, Vanuatu",6.7,06-04-2016 06:58,7,6,green,1,691,us,0,6.697,19.0,mww,24.0,-14.0683,166.624,Vanuatu,Oceania
"M 6.9 - 82 km NNW of Port-Olry, Vanuatu",6.9,03-04-2016 08:23,7,6,green,1,734,us,0,1.166,25.0,mww,26.0,-14.3235,166.855,Vanuatu,Oceania
"M 7.8 - southwest of Sumatra, Indonesia",7.8,02-03-2016 12:49,4,3,green,0,948,us,0,7.009,20.0,mww,24.0,-4.9521,94.3299,Indonesia,Asia
"M 7.2 - 80 km S of Mil’kovo, Russia",7.2,30-01-2016 03:25,3,7,green,1,799,us,0,0.958,17.0,mww,177.0,53.9776,158.546,Russia,Europe
"M 7.1 - 47 km ESE of Pedro Bay, Alaska",7.1,24-01-2016 10:30,7,7,green,1,1496,ak,0,0.0,0.0,mw,125.6,59.6204,-153.339,United States,North America
"M 6.6 - 203 km SW of La Cruz de Loreto, Mexico",6.6,21-01-2016 18:06,3,4,green,1,673,us,0,2.413,74.0,mww,10.0,18.8239,-106.934,Mexico,North America
"M 6.7 - 52 km SE of Shizunai-furukawach?, Japan",6.7,14-01-2016 03:25,5,6,green,1,717,us,0,0.281,22.0,mww,46.0,41.9723,142.781,Japan,Asia
"M 6.5 - 227 km SE of Sarangani, Philippines",6.5,11-01-2016 16:38,3,6,green,1,651,us,0,3.144,22.0,mww,13.0,3.8965,126.862,Indonesia,Asia
"M 6.7 - 29 km W of Imph?l, India",6.7,03-01-2016 23:05,8,7,orange,0,1515,us,0,1.794,16.0,mww,55.0,24.8036,93.6505,India,Asia
"M 6.6 - 4 km W of Manuel Ávila Camacho (Ponte Duro), Mexico",6.6,17-12-2015 19:49,8,6,green,1,765,us,0,0.41,35.0,mww,85.0,15.8015,-93.633,Mexico,North America
"M 6.9 - 107 km SE of Amahai, Indonesia",6.9,09-12-2015 10:21,8,5,green,0,738,us,0,2.979,14.0,mww,21.0,-4.1064,129.508,Indonesia,Asia
"M 7.2 - 104 km W of Murghob, Tajikistan",7.2,07-12-2015 07:50,4,7,green,0,827,us,0,1.116,18.0,mww,22.0,38.2107,72.7797,Tajikistan,Asia
"M 6.7 - 125 km SSW of Tarauacá, Brazil",6.7,26-11-2015 05:45,2,3,green,0,691,us,0,2.033,19.0,mww,602.75,-9.1825,-71.2574,Brazil,South America
"M 7.6 - 185 km WNW of Iñapari, Peru",7.6,24-11-2015 22:50,5,4,green,0,896,us,0,2.852,10.0,mww,620.56,-10.0598,-71.0184,Peru,South America
"M 7.6 - 155 km WNW of Iñapari, Peru",7.6,24-11-2015 22:45,6,5,green,1,957,us,0,3.287,10.0,mww,606.21,-10.5372,-70.9437,Peru,South America
"M 6.8 - 153 km WSW of Buala, Solomon Islands",6.8,18-11-2015 18:31,5,6,green,1,715,us,0,1.599,19.0,mww,12.59,-8.8994,158.422,Solomon Islands,Oceania
"M 6.5 - 19 km SSW of Lefkáda, Greece",6.5,17-11-2015 07:10,7,7,orange,0,1018,us,0,0.0,0.0,mww,11.0,38.67,20.6,Greece,Europe
"M 6.7 - 140 km WSW of Makurazaki, Japan",6.7,13-11-2015 20:51,5,4,green,0,702,us,0,1.444,17.0,mww,12.0,31.0009,128.873,Japan,Asia
"M 6.9 - 85 km NW of Coquimbo, Chile",6.9,11-11-2015 02:46,5,6,green,0,744,us,0,0.821,43.0,mww,10.0,-29.5097,-72.0585,Chile,South America
